[2026-07-08 00:35:59] [INFO    ] discord.client: logging in using static token
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1507935648416272455', 'username': 'Beads Helper', 'avatar': '160b81193ea8dcf4c5176733517af840', 'discriminator': '8375', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-07-08 00:36:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1507935648416272455', 'name': 'Arktal_Beads_Identifier', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1507935648416272455', 'username': 'Beads Helper', 'avatar': '160b81193ea8dcf4c5176733517af840', 'discriminator': '8375', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f18ae01752e226887ff07f01e1e42e63dda39f7f4914a20cc792f723774a3ad7', 'flags': 11018240, 'flags_new': '11018240', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '319934065447010304', 'username': 'zachatree', 'avatar': 'bf3eddc8cb1c42beeb2d519c2ee18c68', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 28279, 'global_name': 'Zachatree', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#006e77', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-07-08 00:36:00] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-07-08 00:36:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-mtn5",{"micros":0.0}]']}}
[2026-07-08 00:36:00] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-07-08 00:36:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
